y,fzone,punt,kick,gofor,red,green,blue
1,1,0.9515,0,0.0485,242,0,12
1,2,1,0,0,255,0,0
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,0.9,0,0.1,229,0,25
2,2,1,0,0,255,0,0
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,0.9805,0,0.0195,250,0,4
3,2,1,0,0,255,0,0
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.8535,0,0.1465,217,0,37
4,2,1,0,0,255,0,0
4,3,1,0,0,255,0,0
4,4,1,0,0,255,0,0
5,1,0.28,0,0.72,71,0,183
5,2,0.989,0,0.011,252,0,2
5,3,1,0,0,255,0,0
5,4,1,0,0,255,0,0
6,1,0.0005,0.0135,0.986,0,3,251
6,2,0.43,0.0305,0.5395,109,7,137
6,3,0.9615,0.0365,0.002,245,9,0
6,4,0.963,0.0365,0.0005,245,9,0
7,1,0,0.8755,0.1245,0,223,31
7,2,0,1,0,0,255,0
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.9105,0.0895,0,232,22
8,2,0,1,0,0,255,0
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.999,0.001,0,254,0
9,2,0,1,0,0,255,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.7895,0.2105,0,201,53
10,2,0,0.9995,0.0005,0,254,0
10,3,0,1,0,0,255,0
10,4,0,1,0,0,255,0
