y,fzone,punt,kick,gofor,red,green,blue
1,1,0.0005,0,0.9995,0,0,254
1,2,0.16,0,0.84,40,0,214
1,3,0.9645,0,0.0355,245,0,9
1,4,1,0,0,255,0,0
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0.381,0,0.619,97,0,157
2,4,0.984,0,0.016,250,0,4
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0.423,0,0.577,107,0,147
3,4,0.9955,0,0.0045,253,0,1
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.017,0,0.983,4,0,250
4,4,0.8155,0,0.1845,207,0,47
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.404,0,0.596,103,0,151
6,1,0,0.007,0.993,0,1,253
6,2,0,0.0165,0.9835,0,4,250
6,3,0,0.06,0.94,0,15,239
6,4,0.0285,0.182,0.7895,7,46,201
7,1,0,0.0285,0.9715,0,7,247
7,2,0,0.7795,0.2205,0,198,56
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.002,0.998,0,0,254
8,2,0,0.607,0.393,0,154,100
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.415,0.585,0,105,149
9,2,0,0.9975,0.0025,0,254,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.007,0.993,0,1,253
10,2,0,0.7095,0.2905,0,180,74
10,3,0,0.9965,0.0035,0,254,0
10,4,0,1,0,0,255,0
