y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.017,0,0.983,4,0,250
1,3,0.8615,0,0.1385,219,0,35
1,4,1,0,0,255,0,0
2,1,0,0,1,0,0,255
2,2,0.015,0,0.985,3,0,251
2,3,0.924,0,0.076,235,0,19
2,4,1,0,0,255,0,0
3,1,0,0,1,0,0,255
3,2,0.0545,0,0.9455,13,0,241
3,3,0.989,0,0.011,252,0,2
3,4,1,0,0,255,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.574,0,0.426,146,0,108
4,4,0.9975,0,0.0025,254,0,0
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.0045,0,0.9955,1,0,253
5,4,0.729,0,0.271,185,0,69
6,1,0,0.007,0.993,0,1,253
6,2,0,0.019,0.981,0,4,250
6,3,0,0.058,0.942,0,14,240
6,4,0.051,0.176,0.773,13,44,197
7,1,0,0,1,0,0,255
7,2,0,0.314,0.686,0,80,174
7,3,0,0.9945,0.0055,0,253,1
7,4,0,1,0,0,255,0
8,1,0,0,1,0,0,255
8,2,0,0.0005,0.9995,0,0,254
8,3,0,0.866,0.134,0,220,34
8,4,0,0.9995,0.0005,0,254,0
9,1,0,0.0015,0.9985,0,0,254
9,2,0,0.5395,0.4605,0,137,117
9,3,0,0.9825,0.0175,0,250,4
9,4,0,0.9995,0.0005,0,254,0
10,1,0,0,1,0,0,255
10,2,0,0.0035,0.9965,0,0,254
10,3,0,0.634,0.366,0,161,93
10,4,0,0.9545,0.0455,0,243,11
