y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.018,0,0.982,4,0,250
1,3,0.7785,0,0.2215,198,0,56
1,4,0.9955,0,0.0045,253,0,1
2,1,0,0,1,0,0,255
2,2,0.006,0,0.994,1,0,253
2,3,0.7765,0,0.2235,198,0,56
2,4,1,0,0,255,0,0
3,1,0,0,1,0,0,255
3,2,0.0115,0,0.9885,2,0,252
3,3,0.9005,0,0.0995,229,0,25
3,4,0.9995,0,0.0005,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.105,0,0.895,26,0,228
4,4,0.959,0,0.041,244,0,10
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.0005,0,0.9995,0,0,254
5,4,0.2775,0,0.7225,70,0,184
6,1,0,0.008,0.992,0,2,252
6,2,0,0.0235,0.9765,0,5,249
6,3,0,0.0755,0.9245,0,19,235
6,4,0.0045,0.214,0.7815,1,54,199
7,1,0,0.001,0.999,0,0,254
7,2,0,0.458,0.542,0,116,138
7,3,0,0.9995,0.0005,0,254,0
7,4,0,1,0,0,255,0
8,1,0,0,1,0,0,255
8,2,0,0,1,0,0,255
8,3,0,0.8235,0.1765,0,209,45
8,4,0,1,0,0,255,0
9,1,0,0.0005,0.9995,0,0,254
9,2,0,0.371,0.629,0,94,160
9,3,0,0.9785,0.0215,0,249,5
9,4,0,1,0,0,255,0
10,1,0,0,1,0,0,255
10,2,0,0.0005,0.9995,0,0,254
10,3,0,0.482,0.518,0,122,132
10,4,0,0.9275,0.0725,0,236,18
