y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.0165,0,0.9835,4,0,250
1,3,0.75,0,0.25,191,0,63
1,4,0.995,0,0.005,253,0,1
2,1,0,0,1,0,0,255
2,2,0.0025,0,0.9975,0,0,254
2,3,0.721,0,0.279,183,0,71
2,4,0.999,0,0.001,254,0,0
3,1,0,0,1,0,0,255
3,2,0.0045,0,0.9955,1,0,253
3,3,0.866,0,0.134,220,0,34
3,4,0.999,0,0.001,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.062,0,0.938,15,0,239
4,4,0.9145,0,0.0855,233,0,21
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.0005,0,0.9995,0,0,254
5,4,0.198,0,0.802,50,0,204
6,1,0,0.0075,0.9925,0,1,253
6,2,0,0.0245,0.9755,0,6,248
6,3,0,0.0735,0.9265,0,18,236
6,4,0.002,0.2075,0.7905,0,52,201
7,1,0,0.002,0.998,0,0,254
7,2,0,0.2985,0.7015,0,76,178
7,3,0,0.9965,0.0035,0,254,0
7,4,0,1,0,0,255,0
8,1,0,0,1,0,0,255
8,2,0,0,1,0,0,255
8,3,0,0.57,0.43,0,145,109
8,4,0,0.999,0.001,0,254,0
9,1,0,0,1,0,0,255
9,2,0,0.2245,0.7755,0,57,197
9,3,0,0.949,0.051,0,241,13
9,4,0,0.997,0.003,0,254,0
10,1,0,0,1,0,0,255
10,2,0,0.0005,0.9995,0,0,254
10,3,0,0.365,0.635,0,93,161
10,4,0,0.887,0.113,0,226,28
