y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.013,0,0.987,3,0,251
1,3,0.203,0,0.797,51,0,203
1,4,0.6495,0,0.3505,165,0,89
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0.1815,0,0.8185,46,0,208
2,4,0.835,0,0.165,212,0,42
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0.1855,0,0.8145,47,0,207
3,4,0.966,0,0.034,246,0,8
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.001,0,0.999,0,0,254
4,4,0.2955,0,0.7045,75,0,179
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.0295,0,0.9705,7,0,247
6,1,0,0.0065,0.9935,0,1,253
6,2,0,0.0125,0.9875,0,3,251
6,3,0,0.035,0.965,0,8,246
6,4,0,0.119,0.881,0,30,224
7,1,0,0,1,0,0,255
7,2,0,0.0015,0.9985,0,0,254
7,3,0,0.1355,0.8645,0,34,220
7,4,0,0.8175,0.1825,0,208,46
8,1,0,0,1,0,0,255
8,2,0,0,1,0,0,255
8,3,0,0,1,0,0,255
8,4,0,0.1215,0.8785,0,30,224
9,1,0,0,1,0,0,255
9,2,0,0,1,0,0,255
9,3,0,0.16,0.84,0,40,214
9,4,0,0.6975,0.3025,0,177,77
10,1,0,0,1,0,0,255
10,2,0,0,1,0,0,255
10,3,0,0.008,0.992,0,2,252
10,4,0,0.199,0.801,0,50,204
