y,fzone,punt,kick,gofor,red,green,blue
1,1,0.972,0,0.028,247,0,7
1,2,0.9975,0,0.0025,254,0,0
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,0.958,0,0.042,244,0,10
2,2,0.993,0,0.007,253,0,1
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,0.9865,0,0.0135,251,0,3
3,2,0.9975,0,0.0025,254,0,0
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.965,0,0.035,246,0,8
4,2,0.995,0,0.005,253,0,1
4,3,0.999,0,0.001,254,0,0
4,4,1,0,0,255,0,0
5,1,0.835,0,0.165,212,0,42
5,2,0.995,0,0.005,253,0,1
5,3,0.9965,0,0.0035,254,0,0
5,4,0.997,0,0.003,254,0,0
6,1,0.2485,0.0025,0.749,63,0,190
6,2,0.985,0.004,0.011,251,1,2
6,3,0.9925,0.004,0.0035,253,1,0
6,4,0.993,0.004,0.003,253,1,0
7,1,0,0,1,0,0,255
7,2,0.0205,0.1255,0.854,5,32,217
7,3,0.1775,0.811,0.0115,45,206,2
7,4,0.1795,0.819,0.0015,45,208,0
8,1,0,0,1,0,0,255
8,2,0,0,1,0,0,255
8,3,0,0.683,0.317,0,174,80
8,4,0,0.9815,0.0185,0,250,4
9,1,0,0.0015,0.9985,0,0,254
9,2,0,0.175,0.825,0,44,210
9,3,0,0.926,0.074,0,236,18
9,4,0,0.9795,0.0205,0,249,5
10,1,0,0.0015,0.9985,0,0,254
10,2,0,0.0015,0.9985,0,0,254
10,3,0,0.121,0.879,0,30,224
10,4,0,0.45,0.55,0,114,140
