y,fzone,punt,kick,gofor,red,green,blue
1,1,0.151,0,0.849,38,0,216
1,2,0.9505,0,0.0495,242,0,12
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,0.0855,0,0.9145,21,0,233
2,2,0.936,0,0.064,238,0,16
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,0.259,0,0.741,66,0,188
3,2,0.9905,0,0.0095,252,0,2
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.054,0,0.946,13,0,241
4,2,0.911,0,0.089,232,0,22
4,3,1,0,0,255,0,0
4,4,1,0,0,255,0,0
5,1,0,0,1,0,0,255
5,2,0.2265,0,0.7735,57,0,197
5,3,0.998,0,0.002,254,0,0
5,4,1,0,0,255,0,0
6,1,0,0.0095,0.9905,0,2,252
6,2,0,0.0275,0.9725,0,7,247
6,3,0.5485,0.0755,0.376,139,19,95
6,4,0.913,0.085,0.002,232,21,0
7,1,0,0.508,0.492,0,129,125
7,2,0,0.996,0.004,0,253,1
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.4215,0.5785,0,107,147
8,2,0,0.998,0.002,0,254,0
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.947,0.053,0,241,13
9,2,0,1,0,0,255,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.3005,0.6995,0,76,178
10,2,0,0.985,0.015,0,251,3
10,3,0,0.9995,0.0005,0,254,0
10,4,0,1,0,0,255,0
