y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.0085,0,0.9915,2,0,252
1,3,0.645,0,0.355,164,0,90
1,4,0.9945,0,0.0055,253,0,1
2,1,0,0,1,0,0,255
2,2,0.0105,0,0.9895,2,0,252
2,3,0.8315,0,0.1685,212,0,42
2,4,1,0,0,255,0,0
3,1,0,0,1,0,0,255
3,2,0.011,0,0.989,2,0,252
3,3,0.9305,0,0.0695,237,0,17
3,4,0.9995,0,0.0005,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.0985,0,0.9015,25,0,229
4,4,0.9625,0,0.0375,245,0,9
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.0005,0,0.9995,0,0,254
5,4,0.228,0,0.772,58,0,196
6,1,0,0.0095,0.9905,0,2,252
6,2,0,0.0235,0.9765,0,5,249
6,3,0,0.077,0.923,0,19,235
6,4,0.0015,0.2065,0.792,0,52,201
7,1,0,0.0185,0.9815,0,4,250
7,2,0,0.29,0.71,0,73,181
7,3,0,0.9675,0.0325,0,246,8
7,4,0,0.9985,0.0015,0,254,0
8,1,0,0,1,0,0,255
8,2,0,0.009,0.991,0,2,252
8,3,0,0.4305,0.5695,0,109,145
8,4,0,0.9845,0.0155,0,251,3
9,1,0,0,1,0,0,255
9,2,0,0.178,0.822,0,45,209
9,3,0,0.899,0.101,0,229,25
9,4,0,0.9865,0.0135,0,251,3
10,1,0,0,1,0,0,255
10,2,0,0.0005,0.9995,0,0,254
10,3,0,0.3005,0.6995,0,76,178
10,4,0,0.8295,0.1705,0,211,43
