y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.0005,0,0.9995,0,0,254
1,3,0.006,0,0.994,1,0,253
1,4,0.058,0,0.942,14,0,240
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0,0,1,0,0,255
2,4,0.044,0,0.956,11,0,243
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0,0,1,0,0,255
3,4,0.021,0,0.979,5,0,249
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0,0,1,0,0,255
4,4,0,0,1,0,0,255
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0,0,1,0,0,255
6,1,0,0.0265,0.9735,0,6,248
6,2,0,0.053,0.947,0,13,241
6,3,0,0.127,0.873,0,32,222
6,4,0,0.2565,0.7435,0,65,189
7,1,0,0.0845,0.9155,0,21,233
7,2,0,0.224,0.776,0,57,197
7,3,0,0.557,0.443,0,142,112
7,4,0,0.8875,0.1125,0,226,28
8,1,0,0.002,0.998,0,0,254
8,2,0,0.009,0.991,0,2,252
8,3,0,0.074,0.926,0,18,236
8,4,0,0.3575,0.6425,0,91,163
9,1,0,0.0005,0.9995,0,0,254
9,2,0,0.005,0.995,0,1,253
9,3,0,0.201,0.799,0,51,203
9,4,0,0.6795,0.3205,0,173,81
10,1,0,0,1,0,0,255
10,2,0,0,1,0,0,255
10,3,0,0.0025,0.9975,0,0,254
10,4,0,0.1245,0.8755,0,31,223
