y,fzone,punt,kick,gofor,red,green,blue
1,1,0.0685,0,0.9315,17,0,237
1,2,0.875,0,0.125,223,0,31
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,0.0455,0,0.9545,11,0,243
2,2,0.8685,0,0.1315,221,0,33
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,0.1495,0,0.8505,38,0,216
3,2,0.977,0,0.023,249,0,5
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.005,0,0.995,1,0,253
4,2,0.6935,0,0.3065,176,0,78
4,3,0.9995,0,0.0005,254,0,0
4,4,1,0,0,255,0,0
5,1,0,0,1,0,0,255
5,2,0.0055,0,0.9945,1,0,253
5,3,0.9365,0,0.0635,238,0,16
5,4,1,0,0,255,0,0
6,1,0,0.0095,0.9905,0,2,252
6,2,0,0.0275,0.9725,0,7,247
6,3,0.0715,0.0895,0.839,18,22,213
6,4,0.829,0.1335,0.0375,211,34,9
7,1,0,0.2985,0.7015,0,76,178
7,2,0,0.985,0.015,0,251,3
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.039,0.961,0,9,245
8,2,0,0.93,0.07,0,237,17
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.6075,0.3925,0,154,100
9,2,0,0.999,0.001,0,254,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.0045,0.9955,0,1,253
10,2,0,0.7035,0.2965,0,179,75
10,3,0,0.9945,0.0055,0,253,1
10,4,0,1,0,0,255,0
