y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.006,0,0.994,1,0,253
1,3,0.5585,0,0.4415,142,0,112
1,4,0.99,0,0.01,252,0,2
2,1,0,0,1,0,0,255
2,2,0.018,0,0.982,4,0,250
2,3,0.8835,0,0.1165,225,0,29
2,4,1,0,0,255,0,0
3,1,0,0,1,0,0,255
3,2,0.0075,0,0.9925,1,0,253
3,3,0.907,0,0.093,231,0,23
3,4,0.9995,0,0.0005,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.0395,0,0.9605,10,0,244
4,4,0.8845,0,0.1155,225,0,29
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.124,0,0.876,31,0,223
6,1,0,0.0345,0.9655,0,8,246
6,2,0,0.08,0.92,0,20,234
6,3,0,0.204,0.796,0,52,202
6,4,0,0.3815,0.6185,0,97,157
7,1,0,0.782,0.218,0,199,55
7,2,0,0.993,0.007,0,253,1
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.0185,0.9815,0,4,250
8,2,0,0.651,0.349,0,166,88
8,3,0,0.9935,0.0065,0,253,1
8,4,0,1,0,0,255,0
9,1,0,0.0425,0.9575,0,10,244
9,2,0,0.8855,0.1145,0,225,29
9,3,0,0.9975,0.0025,0,254,0
9,4,0,1,0,0,255,0
10,1,0,0,1,0,0,255
10,2,0,0.008,0.992,0,2,252
10,3,0,0.729,0.271,0,185,69
10,4,0,0.9705,0.0295,0,247,7
