y,fzone,punt,kick,gofor,red,green,blue
1,1,0.259,0,0.741,66,0,188
1,2,0.9625,0,0.0375,245,0,9
1,3,0.98,0,0.02,249,0,5
1,4,0.98,0,0.02,249,0,5
2,1,0.0795,0,0.9205,20,0,234
2,2,0.9245,0,0.0755,235,0,19
2,3,0.9835,0,0.0165,250,0,4
2,4,0.9835,0,0.0165,250,0,4
3,1,0.4605,0,0.5395,117,0,137
3,2,0.9845,0,0.0155,251,0,3
3,3,0.9855,0,0.0145,251,0,3
3,4,0.9855,0,0.0145,251,0,3
4,1,0.6385,0,0.3615,162,0,92
4,2,0.987,0,0.013,251,0,3
4,3,0.987,0,0.013,251,0,3
4,4,0.987,0,0.013,251,0,3
5,1,0.5615,0,0.4385,143,0,111
5,2,0.9905,0,0.0095,252,0,2
5,3,0.9905,0,0.0095,252,0,2
5,4,0.9905,0,0.0095,252,0,2
6,1,0.112,0.0005,0.8875,28,0,226
6,2,0.9625,0.0025,0.035,245,0,8
6,3,0.9895,0.0025,0.008,252,0,2
6,4,0.9925,0.0025,0.005,253,0,1
7,1,0,0.003,0.997,0,0,254
7,2,0.0075,0.005,0.9875,1,1,251
7,3,0.656,0.119,0.225,167,30,57
7,4,0.8225,0.173,0.0045,209,44,1
8,1,0,0.0055,0.9945,0,1,253
8,2,0,0.0065,0.9935,0,1,253
8,3,0,0.0085,0.9915,0,2,252
8,4,0,0.6595,0.3405,0,168,86
9,1,0,0.0095,0.9905,0,2,252
9,2,0,0.01,0.99,0,2,252
9,3,0,0.32,0.68,0,81,173
9,4,0,0.8195,0.1805,0,208,46
10,1,0,0.009,0.991,0,2,252
10,2,0,0.0095,0.9905,0,2,252
10,3,0,0.014,0.986,0,3,251
10,4,0,0.0675,0.9325,0,17,237
