y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.0005,0,0.9995,0,0,254
1,3,0.0185,0,0.9815,4,0,250
1,4,0.2545,0,0.7455,64,0,190
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0.049,0,0.951,12,0,242
2,4,0.6825,0,0.3175,174,0,80
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0.0135,0,0.9865,3,0,251
3,4,0.674,0,0.326,171,0,83
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0,0,1,0,0,255
4,4,0.046,0,0.954,11,0,243
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.0005,0,0.9995,0,0,254
6,1,0,0.055,0.945,0,14,240
6,2,0,0.1005,0.8995,0,25,229
6,3,0,0.214,0.786,0,54,200
6,4,0,0.378,0.622,0,96,158
7,1,0,0.357,0.643,0,91,163
7,2,0,0.652,0.348,0,166,88
7,3,0,0.909,0.091,0,231,23
7,4,0,0.987,0.013,0,251,3
8,1,0,0,1,0,0,255
8,2,0,0.0425,0.9575,0,10,244
8,3,0,0.4235,0.5765,0,107,147
8,4,0,0.8165,0.1835,0,208,46
9,1,0,0,1,0,0,255
9,2,0,0.0475,0.9525,0,12,242
9,3,0,0.6135,0.3865,0,156,98
9,4,0,0.9085,0.0915,0,231,23
10,1,0,0,1,0,0,255
10,2,0,0,1,0,0,255
10,3,0,0.0405,0.9595,0,10,244
10,4,0,0.41,0.59,0,104,150
