y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0,0,1,0,0,255
1,3,0.0005,0,0.9995,0,0,254
1,4,0.016,0,0.984,4,0,250
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0,0,1,0,0,255
2,4,0.046,0,0.954,11,0,243
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0,0,1,0,0,255
3,4,0.026,0,0.974,6,0,248
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0,0,1,0,0,255
4,4,0,0,1,0,0,255
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0,0,1,0,0,255
6,1,0,0.076,0.924,0,19,235
6,2,0,0.1245,0.8755,0,31,223
6,3,0,0.236,0.764,0,60,194
6,4,0,0.4015,0.5985,0,102,152
7,1,0,0.3695,0.6305,0,94,160
7,2,0,0.5875,0.4125,0,149,105
7,3,0,0.848,0.152,0,216,38
7,4,0,0.98,0.02,0,249,5
8,1,0,0.023,0.977,0,5,249
8,2,0,0.0925,0.9075,0,23,231
8,3,0,0.344,0.656,0,87,167
8,4,0,0.7,0.3,0,178,76
9,1,0,0.0045,0.9955,0,1,253
9,2,0,0.0575,0.9425,0,14,240
9,3,0,0.471,0.529,0,120,134
9,4,0,0.861,0.139,0,219,35
10,1,0,0,1,0,0,255
10,2,0,0,1,0,0,255
10,3,0,0.0205,0.9795,0,5,249
10,4,0,0.2675,0.7325,0,68,186
