y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.041,0,0.959,10,0,244
1,3,0.7635,0,0.2365,194,0,60
1,4,0.9955,0,0.0045,253,0,1
2,1,0,0,1,0,0,255
2,2,0.1015,0,0.8985,25,0,229
2,3,0.98,0,0.02,249,0,5
2,4,1,0,0,255,0,0
3,1,0,0,1,0,0,255
3,2,0.02,0,0.98,5,0,249
3,3,0.958,0,0.042,244,0,10
3,4,0.9995,0,0.0005,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.031,0,0.969,7,0,247
4,4,0.8635,0,0.1365,220,0,34
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.067,0,0.933,17,0,237
6,1,0,0.089,0.911,0,22,232
6,2,0,0.152,0.848,0,38,216
6,3,0,0.2965,0.7035,0,75,179
6,4,0,0.468,0.532,0,119,135
7,1,0,0.8905,0.1095,0,227,27
7,2,0,0.9875,0.0125,0,251,3
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.455,0.545,0,116,138
8,2,0,0.8295,0.1705,0,211,43
8,3,0,0.9885,0.0115,0,252,2
8,4,0,0.999,0.001,0,254,0
9,1,0,0.4255,0.5745,0,108,146
9,2,0,0.92,0.08,0,234,20
9,3,0,0.9965,0.0035,0,254,0
9,4,0,0.9995,0.0005,0,254,0
10,1,0,0.001,0.999,0,0,254
10,2,0,0.2115,0.7885,0,53,201
10,3,0,0.8375,0.1625,0,213,41
10,4,0,0.977,0.023,0,249,5
