y,fzone,punt,kick,gofor
1,1,0.0475,0,0.9525
1,2,0.797,0,0.203
1,3,1,0,0
1,4,1,0,0
2,1,0.023,0,0.977
2,2,0.7385,0,0.2615
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0815,0,0.9185
3,2,0.9275,0,0.0725
3,3,1,0,0
3,4,1,0,0
4,1,0.002,0,0.998
4,2,0.509,0,0.491
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0025,0,0.9975
5,3,0.8705,0,0.1295
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0305,0.9695
6,3,0.0445,0.0945,0.861
6,4,0.7835,0.1485,0.068
7,1,0,0.3565,0.6435
7,2,0,0.987,0.013
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0725,0.9275
8,2,0,0.9485,0.0515
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6705,0.3295
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0065,0.9935
10,2,0,0.7485,0.2515
10,3,0,0.997,0.003
10,4,0,1,0
