y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0055,0,0.9945
1,3,0.7835,0,0.2165
1,4,0.998,0,0.002
2,1,0,0,1
2,2,0.011,0,0.989
2,3,0.9065,0,0.0935
2,4,1,0,0
3,1,0,0,1
3,2,0.039,0,0.961
3,3,0.98,0,0.02
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.4865,0,0.5135
4,4,0.9975,0,0.0025
5,1,0,0,1
5,2,0,0,1
5,3,0.0015,0,0.9985
5,4,0.628,0,0.372
6,1,0,0.007,0.993
6,2,0,0.016,0.984
6,3,0,0.045,0.955
6,4,0.0275,0.1445,0.828
7,1,0,0,1
7,2,0,0.043,0.957
7,3,0,0.843,0.157
7,4,0,0.9965,0.0035
8,1,0,0,1
8,2,0,0,1
8,3,0,0.262,0.738
8,4,0,0.9595,0.0405
9,1,0,0,1
9,2,0,0.1825,0.8175
9,3,0,0.8845,0.1155
9,4,0,0.9805,0.0195
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.348,0.652
10,4,0,0.851,0.149
