y,fzone,punt,kick,gofor
1,1,0.0015,0,0.9985
1,2,0.103,0,0.897
1,3,0.6555,0,0.3445
1,4,0.9535,0,0.0465
2,1,0,0,1
2,2,0,0,1
2,3,0.2405,0,0.7595
2,4,0.9305,0,0.0695
3,1,0.0015,0,0.9985
3,2,0.0015,0,0.9985
3,3,0.2745,0,0.7255
3,4,0.9705,0,0.0295
4,1,0.0035,0,0.9965
4,2,0.004,0,0.996
4,3,0.008,0,0.992
4,4,0.6765,0,0.3235
5,1,0,0,1
5,2,0.0025,0,0.9975
5,3,0.004,0,0.996
5,4,0.1595,0,0.8405
6,1,0,0.0075,0.9925
6,2,0,0.0245,0.9755
6,3,0.001,0.0785,0.9205
6,4,0.0055,0.2085,0.786
7,1,0,0.012,0.988
7,2,0,0.3295,0.6705
7,3,0,0.9705,0.0295
7,4,0,0.975,0.025
8,1,0,0.008,0.992
8,2,0,0.012,0.988
8,3,0,0.5025,0.4975
8,4,0,0.9745,0.0255
9,1,0,0.009,0.991
9,2,0,0.197,0.803
9,3,0,0.922,0.078
9,4,0,0.9715,0.0285
10,1,0,0.0015,0.9985
10,2,0,0.007,0.993
10,3,0,0.322,0.678
10,4,0,0.8555,0.1445
