y,fzone,punt,kick,gofor
1,1,0.473,0,0.527
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.8275,0,0.1725
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.997,0,0.003
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.998,0,0.002
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.9915,0,0.0085
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.7235,0.006,0.2705
6,2,0.994,0.006,0
6,3,0.994,0.006,0
6,4,0.994,0.006,0
7,1,0,0.154,0.846
7,2,0.003,0.9255,0.0715
7,3,0.006,0.994,0
7,4,0.006,0.994,0
8,1,0,0.0245,0.9755
8,2,0,0.7225,0.2775
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3175,0.6825
9,2,0,0.958,0.042
9,3,0,0.9985,0.0015
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.1745,0.8255
10,3,0,0.797,0.203
10,4,0,0.9675,0.0325
