y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.001,0,0.999
1,3,0.0695,0,0.9305
1,4,0.5245,0,0.4755
2,1,0,0,1
2,2,0.001,0,0.999
2,3,0.2505,0,0.7495
2,4,0.925,0,0.075
3,1,0,0,1
3,2,0,0,1
3,3,0.1805,0,0.8195
3,4,0.9385,0,0.0615
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.2085,0,0.7915
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.006,0,0.994
6,1,0,0.01,0.99
6,2,0,0.0195,0.9805
6,3,0,0.053,0.947
6,4,0,0.158,0.842
7,1,0,0.003,0.997
7,2,0,0.0345,0.9655
7,3,0,0.344,0.656
7,4,0,0.8365,0.1635
8,1,0,0,1
8,2,0,0,1
8,3,0,0.012,0.988
8,4,0,0.234,0.766
9,1,0,0,1
9,2,0,0.0005,0.9995
9,3,0,0.203,0.797
9,4,0,0.72,0.28
10,1,0,0,1
10,2,0,0,1
10,3,0,0.006,0.994
10,4,0,0.1915,0.8085
