y,fzone,punt,kick,gofor
1,1,0.8785,0,0.1215
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8035,0,0.1965
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.953,0,0.047
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.74,0,0.26
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.122,0,0.878
5,2,0.9745,0,0.0255
5,3,1,0,0
5,4,1,0,0
6,1,0,0.013,0.987
6,2,0.177,0.0335,0.7895
6,3,0.9475,0.0505,0.002
6,4,0.9495,0.0505,0
7,1,0,0.8295,0.1705
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8325,0.1675
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.996,0.004
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.641,0.359
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
