y,fzone,punt,kick,gofor
1,1,0.3225,0,0.6775
1,2,0.986,0,0.014
1,3,1,0,0
1,4,1,0,0
2,1,0.218,0,0.782
2,2,0.982,0,0.018
2,3,1,0,0
2,4,1,0,0
3,1,0.482,0,0.518
3,2,0.997,0,0.003
3,3,1,0,0
3,4,1,0,0
4,1,0.1095,0,0.8905
4,2,0.963,0,0.037
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.283,0,0.717
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.5235,0.082,0.3945
6,4,0.907,0.091,0.002
7,1,0,0.521,0.479
7,2,0,0.9965,0.0035
7,3,0,1,0
7,4,0,1,0
8,1,0,0.283,0.717
8,2,0,0.993,0.007
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9035,0.0965
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0885,0.9115
10,2,0,0.955,0.045
10,3,0,0.9995,0.0005
10,4,0,1,0
