y,fzone,punt,kick,gofor
1,1,0.323,0,0.677
1,2,0.981,0,0.019
1,3,1,0,0
1,4,1,0,0
2,1,0.1555,0,0.8445
2,2,0.9625,0,0.0375
2,3,1,0,0
2,4,1,0,0
3,1,0.4125,0,0.5875
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.1245,0,0.8755
4,2,0.9775,0,0.0225
4,3,1,0,0
4,4,1,0,0
5,1,0.0015,0,0.9985
5,2,0.537,0,0.463
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.003,0.026,0.971
6,3,0.8385,0.0545,0.107
6,4,0.9435,0.0565,0
7,1,0,0.4895,0.5105
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.398,0.602
8,2,0,0.9955,0.0045
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9585,0.0415
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.239,0.761
10,2,0,0.9855,0.0145
10,3,0,1,0
10,4,0,1,0
