y,fzone,punt,kick,gofor
1,1,0.674,0,0.326
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.4995,0,0.5005
2,2,0.9975,0,0.0025
2,3,1,0,0
2,4,1,0,0
3,1,0.7665,0,0.2335
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.373,0,0.627
4,2,0.9945,0,0.0055
4,3,1,0,0
4,4,1,0,0
5,1,0.0115,0,0.9885
5,2,0.7445,0,0.2555
5,3,1,0,0
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.0055,0.0345,0.96
6,3,0.872,0.061,0.067
6,4,0.9385,0.0615,0
7,1,0,0.754,0.246
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7025,0.2975
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9875,0.0125
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.4425,0.5575
10,2,0,0.997,0.003
10,3,0,1,0
10,4,0,1,0
