y,fzone,punt,kick,gofor
1,1,0.3865,0,0.6135
1,2,0.992,0,0.008
1,3,1,0,0
1,4,1,0,0
2,1,0.2735,0,0.7265
2,2,0.987,0,0.013
2,3,1,0,0
2,4,1,0,0
3,1,0.5585,0,0.4415
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.16,0,0.84
4,2,0.9835,0,0.0165
4,3,1,0,0
4,4,1,0,0
5,1,0.0005,0,0.9995
5,2,0.4235,0,0.5765
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.658,0.077,0.265
6,4,0.9185,0.081,0.0005
7,1,0,0.575,0.425
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.377,0.623
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9365,0.0635
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1475,0.8525
10,2,0,0.979,0.021
10,3,0,0.9995,0.0005
10,4,0,1,0
