y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.01,0,0.99
1,3,0.664,0,0.336
1,4,0.9935,0,0.0065
2,1,0,0,1
2,2,0.0075,0,0.9925
2,3,0.7835,0,0.2165
2,4,0.999,0,0.001
3,1,0,0,1
3,2,0.0065,0,0.9935
3,3,0.8825,0,0.1175
3,4,0.999,0,0.001
4,1,0,0,1
4,2,0,0,1
4,3,0.053,0,0.947
4,4,0.9035,0,0.0965
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.1645,0,0.8355
6,1,0,0.0065,0.9935
6,2,0,0.015,0.985
6,3,0,0.0455,0.9545
6,4,0.0005,0.1455,0.854
7,1,0,0,1
7,2,0,0.006,0.994
7,3,0,0.6715,0.3285
7,4,0,0.989,0.011
8,1,0,0,1
8,2,0,0,1
8,3,0,0.019,0.981
8,4,0,0.7295,0.2705
9,1,0,0,1
9,2,0,0.014,0.986
9,3,0,0.64,0.36
9,4,0,0.941,0.059
10,1,0,0,1
10,2,0,0,1
10,3,0,0.0945,0.9055
10,4,0,0.615,0.385
