y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9995,0,0.0005
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.6745,0,0.3255
4,2,0.9495,0,0.0505
4,3,0.997,0,0.003
4,4,0.9995,0,0.0005
5,1,0.362,0,0.638
5,2,0.7405,0,0.2595
5,3,0.942,0,0.058
5,4,0.9935,0,0.0065
6,1,0.5465,0.005,0.4485
6,2,0.8545,0.006,0.1395
6,3,0.9665,0.007,0.0265
6,4,0.9895,0.0075,0.003
7,1,0.023,0.1415,0.8355
7,2,0.078,0.777,0.145
7,3,0.0875,0.9125,0
7,4,0.0875,0.9125,0
8,1,0,0.0765,0.9235
8,2,0,0.518,0.482
8,3,0,0.972,0.028
8,4,0,0.9985,0.0015
9,1,0,0.4015,0.5985
9,2,0,0.863,0.137
9,3,0,0.983,0.017
9,4,0,0.9965,0.0035
10,1,0,0.4355,0.5645
10,2,0,0.7445,0.2555
10,3,0,0.8875,0.1125
10,4,0,0.9455,0.0545
