y,fzone,punt,kick,gofor
1,1,0.04,0,0.96
1,2,0.3275,0,0.6725
1,3,0.8505,0,0.1495
1,4,0.987,0,0.013
2,1,0,0,1
2,2,0.0075,0,0.9925
2,3,0.4255,0,0.5745
2,4,0.9445,0,0.0555
3,1,0,0,1
3,2,0,0,1
3,3,0.6195,0,0.3805
3,4,0.999,0,0.001
4,1,0,0,1
4,2,0,0,1
4,3,0.0065,0,0.9935
4,4,0.7365,0,0.2635
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.132,0,0.868
6,1,0,0.0105,0.9895
6,2,0,0.0295,0.9705
6,3,0,0.0945,0.9055
6,4,0,0.2365,0.7635
7,1,0,0.0005,0.9995
7,2,0,0.289,0.711
7,3,0,0.9915,0.0085
7,4,0,1,0
8,1,0,0,1
8,2,0,0,1
8,3,0,0.308,0.692
8,4,0,0.9925,0.0075
9,1,0,0,1
9,2,0,0.0925,0.9075
9,3,0,0.88,0.12
9,4,0,0.984,0.016
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.222,0.778
10,4,0,0.797,0.203
