y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.013,0,0.987
1,3,0.4175,0,0.5825
1,4,0.946,0,0.054
2,1,0,0,1
2,2,0.029,0,0.971
2,3,0.825,0,0.175
2,4,0.9995,0,0.0005
3,1,0,0,1
3,2,0.0025,0,0.9975
3,3,0.7655,0,0.2345
3,4,0.9995,0,0.0005
4,1,0,0,1
4,2,0,0,1
4,3,0.0045,0,0.9955
4,4,0.6245,0,0.3755
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.023,0,0.977
6,1,0,0.0875,0.9125
6,2,0,0.1525,0.8475
6,3,0,0.295,0.705
6,4,0,0.4615,0.5385
7,1,0,0.8335,0.1665
7,2,0,0.972,0.028
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0.153,0.847
8,2,0,0.5585,0.4415
8,3,0,0.955,0.045
8,4,0,0.998,0.002
9,1,0,0.059,0.941
9,2,0,0.641,0.359
9,3,0,0.973,0.027
9,4,0,0.997,0.003
10,1,0,0,1
10,2,0,0.003,0.997
10,3,0,0.45,0.55
10,4,0,0.8885,0.1115
