y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.33,0,0.67
1,3,0.9955,0,0.0045
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.265,0,0.735
2,3,0.9965,0,0.0035
2,4,1,0,0
3,1,0.003,0,0.997
3,2,0.523,0,0.477
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.065,0,0.935
4,3,0.987,0,0.013
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.397,0,0.603
5,4,0.995,0,0.005
6,1,0,0.008,0.992
6,2,0,0.0235,0.9765
6,3,0.0015,0.079,0.9195
6,4,0.502,0.1695,0.3285
7,1,0,0.087,0.913
7,2,0,0.927,0.073
7,3,0,1,0
7,4,0,1,0
8,1,0,0.005,0.995
8,2,0,0.717,0.283
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3555,0.6445
9,2,0,0.9955,0.0045
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.4945,0.5055
10,3,0,0.9855,0.0145
10,4,0,0.9995,0.0005
