y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.0005,0,0.9995
1,4,0.013,0,0.987
2,1,0,0,1
2,2,0,0,1
2,3,0,0,1
2,4,0.022,0,0.978
3,1,0,0,1
3,2,0,0,1
3,3,0,0,1
3,4,0.0105,0,0.9895
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0,0,1
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0,0,1
6,1,0,0.0465,0.9535
6,2,0,0.0825,0.9175
6,3,0,0.1835,0.8165
6,4,0,0.343,0.657
7,1,0,0.1625,0.8375
7,2,0,0.4405,0.5595
7,3,0,0.788,0.212
7,4,0,0.952,0.048
8,1,0,0,1
8,2,0,0,1
8,3,0,0.1155,0.8845
8,4,0,0.556,0.444
9,1,0,0,1
9,2,0,0.002,0.998
9,3,0,0.301,0.699
9,4,0,0.754,0.246
10,1,0,0,1
10,2,0,0,1
10,3,0,0.006,0.994
10,4,0,0.173,0.827
