y,fzone,punt,kick,gofor
1,1,0.008,0,0.992
1,2,0.5775,0,0.4225
1,3,0.999,0,0.001
1,4,1,0,0
2,1,0.004,0,0.996
2,2,0.508,0,0.492
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0185,0,0.9815
3,2,0.7705,0,0.2295
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1775,0,0.8225
4,3,0.9955,0,0.0045
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.53,0,0.47
5,4,0.9965,0,0.0035
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.0015,0.093,0.9055
6,4,0.543,0.1855,0.2715
7,1,0,0.2235,0.7765
7,2,0,0.9685,0.0315
7,3,0,1,0
7,4,0,1,0
8,1,0,0.01,0.99
8,2,0,0.7785,0.2215
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3565,0.6435
9,2,0,0.9945,0.0055
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.41,0.59
10,3,0,0.978,0.022
10,4,0,0.9995,0.0005
