y,fzone,punt,kick,gofor
1,1,0.0445,0,0.9555
1,2,0.82,0,0.18
1,3,1,0,0
1,4,1,0,0
2,1,0.0245,0,0.9755
2,2,0.8125,0,0.1875
2,3,1,0,0
2,4,1,0,0
3,1,0.107,0,0.893
3,2,0.962,0,0.038
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.585,0,0.415
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0015,0,0.9985
5,3,0.887,0,0.113
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0255,0.9745
6,3,0.033,0.089,0.878
6,4,0.7735,0.1495,0.077
7,1,0,0.2385,0.7615
7,2,0,0.9795,0.0205
7,3,0,1,0
7,4,0,1,0
8,1,0,0.02,0.98
8,2,0,0.884,0.116
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5015,0.4985
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.612,0.388
10,3,0,0.991,0.009
10,4,0,1,0
