y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.011,0,0.989
1,3,0.732,0,0.268
1,4,0.992,0,0.008
2,1,0,0,1
2,2,0.058,0,0.942
2,3,0.944,0,0.056
2,4,0.994,0,0.006
3,1,0,0,1
3,2,0.0755,0,0.9245
3,3,0.9665,0,0.0335
3,4,0.9985,0,0.0015
4,1,0,0,1
4,2,0.0025,0,0.9975
4,3,0.4625,0,0.5375
4,4,0.9785,0,0.0215
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.007,0,0.993
5,4,0.6015,0,0.3985
6,1,0,0.007,0.993
6,2,0,0.0255,0.9745
6,3,0,0.083,0.917
6,4,0.0205,0.2105,0.769
7,1,0,0.0125,0.9875
7,2,0,0.564,0.436
7,3,0,0.975,0.025
7,4,0,0.9915,0.0085
8,1,0,0,1
8,2,0,0.0075,0.9925
8,3,0,0.8565,0.1435
8,4,0,0.9785,0.0215
9,1,0,0.001,0.999
9,2,0,0.447,0.553
9,3,0,0.9675,0.0325
9,4,0,0.9925,0.0075
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.5095,0.4905
10,4,0,0.921,0.079
