y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.035,0,0.965
1,3,0.924,0,0.076
1,4,1,0,0
2,1,0,0,1
2,2,0.0235,0,0.9765
2,3,0.9465,0,0.0535
2,4,1,0,0
3,1,0,0,1
3,2,0.0755,0,0.9245
3,3,0.992,0,0.008
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.651,0,0.349
4,4,0.9975,0,0.0025
5,1,0,0,1
5,2,0,0,1
5,3,0.0095,0,0.9905
5,4,0.799,0,0.201
6,1,0,0.007,0.993
6,2,0,0.02,0.98
6,3,0,0.064,0.936
6,4,0.0725,0.186,0.7415
7,1,0,0.005,0.995
7,2,0,0.5165,0.4835
7,3,0,0.9985,0.0015
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0215,0.9785
8,3,0,0.9695,0.0305
8,4,0,1,0
9,1,0,0.009,0.991
9,2,0,0.7445,0.2555
9,3,0,0.993,0.007
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0285,0.9715
10,3,0,0.7685,0.2315
10,4,0,0.973,0.027
