y,fzone,punt,kick,gofor
1,1,0.9885,0,0.0115
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.9715,0,0.0285
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9965,0,0.0035
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9685,0,0.0315
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.7195,0,0.2805
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.077,0.0085,0.9145
6,2,0.94,0.014,0.046
6,3,0.986,0.014,0
6,4,0.986,0.014,0
7,1,0,0.4905,0.5095
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.517,0.483
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.934,0.066
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.3805,0.6195
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
