y,fzone,punt,kick,gofor
1,1,0.016,0,0.984
1,2,0.6945,0,0.3055
1,3,1,0,0
1,4,1,0,0
2,1,0.009,0,0.991
2,2,0.6705,0,0.3295
2,3,1,0,0
2,4,1,0,0
3,1,0.043,0,0.957
3,2,0.9045,0,0.0955
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.347,0,0.653
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.701,0,0.299
5,4,0.9995,0,0.0005
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0.0065,0.086,0.9075
6,4,0.649,0.1625,0.1885
7,1,0,0.1635,0.8365
7,2,0,0.9625,0.0375
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0055,0.9945
8,2,0,0.738,0.262
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3375,0.6625
9,2,0,0.996,0.004
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.4195,0.5805
10,3,0,0.98,0.02
10,4,0,0.9995,0.0005
