y,fzone,punt,kick,gofor
1,1,0.2805,0,0.7195
1,2,0.9795,0,0.0205
1,3,1,0,0
1,4,1,0,0
2,1,0.2045,0,0.7955
2,2,0.9785,0,0.0215
2,3,1,0,0
2,4,1,0,0
3,1,0.464,0,0.536
3,2,0.9965,0,0.0035
3,3,1,0,0
3,4,1,0,0
4,1,0.1025,0,0.8975
4,2,0.9595,0,0.0405
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.261,0,0.739
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.4925,0.0815,0.426
6,4,0.906,0.092,0.002
7,1,0,0.497,0.503
7,2,0,0.9965,0.0035
7,3,0,1,0
7,4,0,1,0
8,1,0,0.254,0.746
8,2,0,0.9925,0.0075
8,3,0,1,0
8,4,0,1,0
9,1,0,0.892,0.108
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.082,0.918
10,2,0,0.9485,0.0515
10,3,0,0.9995,0.0005
10,4,0,1,0
