y,fzone,punt,kick,gofor
1,1,0.492,0,0.508
1,2,0.996,0,0.004
1,3,1,0,0
1,4,1,0,0
2,1,0.324,0,0.676
2,2,0.992,0,0.008
2,3,1,0,0
2,4,1,0,0
3,1,0.609,0,0.391
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.2785,0,0.7215
4,2,0.9925,0,0.0075
4,3,1,0,0
4,4,1,0,0
5,1,0.011,0,0.989
5,2,0.7275,0,0.2725
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.008,0.0295,0.9625
6,3,0.9,0.054,0.046
6,4,0.946,0.054,0
7,1,0,0.6205,0.3795
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.615,0.385
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.982,0.018
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.5,0.5
10,2,0,0.997,0.003
10,3,0,1,0
10,4,0,1,0
