y,fzone,punt,kick,gofor
1,1,0.0915,0,0.9085
1,2,0.91,0,0.09
1,3,1,0,0
1,4,1,0,0
2,1,0.0665,0,0.9335
2,2,0.918,0,0.082
2,3,1,0,0
2,4,1,0,0
3,1,0.217,0,0.783
3,2,0.9905,0,0.0095
3,3,1,0,0
3,4,1,0,0
4,1,0.0145,0,0.9855
4,2,0.81,0,0.19
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0285,0,0.9715
5,3,0.9725,0,0.0275
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.138,0.0915,0.7705
6,4,0.859,0.1235,0.0175
7,1,0,0.3645,0.6355
7,2,0,0.9895,0.0105
7,3,0,1,0
7,4,0,1,0
8,1,0,0.087,0.913
8,2,0,0.9675,0.0325
8,3,0,1,0
8,4,0,1,0
9,1,0,0.741,0.259
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.018,0.982
10,2,0,0.8215,0.1785
10,3,0,0.9985,0.0015
10,4,0,1,0
