y,fzone,punt,kick,gofor
1,1,0.5335,0,0.4665
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.405,0,0.595
2,2,0.9955,0,0.0045
2,3,1,0,0
2,4,1,0,0
3,1,0.7015,0,0.2985
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.291,0,0.709
4,2,0.993,0,0.007
4,3,1,0,0
4,4,1,0,0
5,1,0.005,0,0.995
5,2,0.6305,0,0.3695
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0105,0.9895
6,2,0.002,0.0325,0.9655
6,3,0.7995,0.067,0.1335
6,4,0.932,0.068,0
7,1,0,0.65,0.35
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4965,0.5035
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.964,0.036
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2305,0.7695
10,2,0,0.9865,0.0135
10,3,0,1,0
10,4,0,1,0
