y,fzone,punt,kick,gofor
1,1,0.8465,0,0.1535
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.763,0,0.237
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.929,0,0.071
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.697,0,0.303
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.089,0,0.911
5,2,0.954,0,0.046
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0.1145,0.0355,0.85
6,3,0.944,0.052,0.004
6,4,0.948,0.052,0
7,1,0,0.826,0.174
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8225,0.1775
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.995,0.005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.627,0.373
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
