y,fzone,punt,kick,gofor
1,1,0.3845,0,0.6155
1,2,0.9925,0,0.0075
1,3,1,0,0
1,4,1,0,0
2,1,0.2745,0,0.7255
2,2,0.988,0,0.012
2,3,1,0,0
2,4,1,0,0
3,1,0.559,0,0.441
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.1625,0,0.8375
4,2,0.984,0,0.016
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.4195,0,0.5805
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.6515,0.078,0.2705
6,4,0.9165,0.083,0.0005
7,1,0,0.589,0.411
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.389,0.611
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9395,0.0605
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1515,0.8485
10,2,0,0.9785,0.0215
10,3,0,0.9995,0.0005
10,4,0,1,0
