y,fzone,punt,kick,gofor
1,1,0.046,0,0.954
1,2,0.819,0,0.181
1,3,1,0,0
1,4,1,0,0
2,1,0.024,0,0.976
2,2,0.8045,0,0.1955
2,3,1,0,0
2,4,1,0,0
3,1,0.102,0,0.898
3,2,0.958,0,0.042
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.564,0,0.436
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0015,0,0.9985
5,3,0.877,0,0.123
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.031,0.0885,0.8805
6,4,0.772,0.15,0.078
7,1,0,0.2395,0.7605
7,2,0,0.9795,0.0205
7,3,0,1,0
7,4,0,1,0
8,1,0,0.02,0.98
8,2,0,0.8775,0.1225
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4905,0.5095
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.5995,0.4005
10,3,0,0.989,0.011
10,4,0,0.9995,0.0005
