y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.024,0,0.976
1,4,0.2865,0,0.7135
2,1,0,0,1
2,2,0,0,1
2,3,0.0145,0,0.9855
2,4,0.501,0,0.499
3,1,0,0,1
3,2,0,0,1
3,3,0.0125,0,0.9875
3,4,0.7145,0,0.2855
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.085,0,0.915
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.004,0,0.996
6,1,0,0.203,0.797
6,2,0,0.315,0.685
6,3,0,0.4655,0.5345
6,4,0,0.6125,0.3875
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8975,0.1025
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.617,0.383
9,2,0,0.9965,0.0035
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.144,0.856
10,3,0,0.9135,0.0865
10,4,0,0.994,0.006
