y,fzone,punt,kick,gofor
1,1,0.9995,0,0.0005
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8795,0,0.1205
2,2,0.9745,0,0.0255
2,3,0.9915,0,0.0085
2,4,0.9975,0,0.0025
3,1,0.2415,0,0.7585
3,2,0.5105,0,0.4895
3,3,0.7965,0,0.2035
3,4,0.922,0,0.078
4,1,0.009,0,0.991
4,2,0.033,0,0.967
4,3,0.0905,0,0.9095
4,4,0.183,0,0.817
5,1,0.019,0.0005,0.9805
5,2,0.0385,0.0005,0.961
5,3,0.078,0.001,0.921
5,4,0.135,0.001,0.864
6,1,0.1955,0.0235,0.781
6,2,0.2775,0.0375,0.685
6,3,0.3725,0.063,0.5645
6,4,0.46,0.111,0.429
7,1,0.1755,0.3225,0.502
7,2,0.225,0.44,0.335
7,3,0.26,0.531,0.209
7,4,0.2805,0.605,0.1145
8,1,0,0.5025,0.4975
8,2,0,0.6165,0.3835
8,3,0,0.714,0.286
8,4,0,0.8045,0.1955
9,1,0,0.7015,0.2985
9,2,0,0.8145,0.1855
9,3,0,0.9,0.1
9,4,0,0.956,0.044
10,1,0,0.8,0.2
10,2,0,0.873,0.127
10,3,0,0.938,0.062
10,4,0,0.9715,0.0285
