y,fzone,punt,kick,gofor
1,1,0.0485,0,0.9515
1,2,0.8265,0,0.1735
1,3,1,0,0
1,4,1,0,0
2,1,0.032,0,0.968
2,2,0.819,0,0.181
2,3,1,0,0
2,4,1,0,0
3,1,0.1215,0,0.8785
3,2,0.959,0,0.041
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.592,0,0.408
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.003,0,0.997
5,3,0.886,0,0.114
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0305,0.9695
6,3,0.0355,0.0965,0.868
6,4,0.7705,0.154,0.0755
7,1,0,0.332,0.668
7,2,0,0.9875,0.0125
7,3,0,1,0
7,4,0,1,0
8,1,0,0.047,0.953
8,2,0,0.9355,0.0645
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6205,0.3795
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.005,0.995
10,2,0,0.7005,0.2995
10,3,0,0.9945,0.0055
10,4,0,1,0
