y,fzone,punt,kick,gofor
1,1,0.072,0.2805,0.6475
1,2,0.1035,0.2805,0.616
1,3,0.142,0.2805,0.5775
1,4,0.186,0.2805,0.5335
2,1,0.1035,0.2675,0.629
2,2,0.1355,0.2675,0.597
2,3,0.1705,0.2675,0.562
2,4,0.211,0.2675,0.5215
3,1,0.1325,0.232,0.6355
3,2,0.1735,0.232,0.5945
3,3,0.219,0.232,0.549
3,4,0.257,0.232,0.511
4,1,0.1455,0.1855,0.669
4,2,0.1935,0.1855,0.621
4,3,0.2485,0.1855,0.566
4,4,0.306,0.1855,0.5085
5,1,0.1495,0.168,0.6825
5,2,0.198,0.168,0.634
5,3,0.256,0.168,0.576
5,4,0.306,0.168,0.526
6,1,0.1545,0.083,0.7625
6,2,0.1945,0.087,0.7185
6,3,0.254,0.0945,0.6515
6,4,0.3005,0.11,0.5895
7,1,0.122,0.1915,0.6865
7,2,0.157,0.2395,0.6035
7,3,0.192,0.305,0.503
7,4,0.215,0.359,0.426
8,1,0,0.262,0.738
8,2,0,0.313,0.687
8,3,0,0.395,0.605
8,4,0,0.4445,0.5555
9,1,0,0.4255,0.5745
9,2,0,0.513,0.487
9,3,0,0.57,0.43
9,4,0,0.595,0.405
10,1,0,0.44,0.56
10,2,0,0.518,0.482
10,3,0,0.5735,0.4265
10,4,0,0.606,0.394
