y,fzone,punt,kick,gofor
1,1,0.895,0,0.105
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8245,0,0.1755
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.956,0,0.044
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.747,0,0.253
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.1285,0,0.8715
5,2,0.977,0,0.023
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0.199,0.0335,0.7675
6,3,0.949,0.049,0.002
6,4,0.951,0.049,0
7,1,0,0.8345,0.1655
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.835,0.165
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.6535,0.3465
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
