y,fzone,punt,kick,gofor
1,1,0.007,0,0.993
1,2,0.616,0,0.384
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.006,0,0.994
2,2,0.596,0,0.404
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0225,0,0.9775
3,2,0.84,0,0.16
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.2125,0,0.7875
4,3,0.9975,0,0.0025
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.531,0,0.469
5,4,0.9965,0,0.0035
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.0015,0.093,0.9055
6,4,0.5155,0.1885,0.296
7,1,0,0.181,0.819
7,2,0,0.9655,0.0345
7,3,0,1,0
7,4,0,1,0
8,1,0,0.005,0.995
8,2,0,0.7155,0.2845
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2865,0.7135
9,2,0,0.993,0.007
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.36,0.64
10,3,0,0.973,0.027
10,4,0,0.9985,0.0015
