y,fzone,punt,kick,gofor
1,1,0.43,0,0.57
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.31,0,0.69
2,2,0.991,0,0.009
2,3,1,0,0
2,4,1,0,0
3,1,0.6165,0,0.3835
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.207,0,0.793
4,2,0.9895,0,0.0105
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.499,0,0.501
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.0005,0.0325,0.967
6,3,0.7245,0.071,0.2045
6,4,0.9275,0.0725,0
7,1,0,0.6055,0.3945
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4265,0.5735
8,2,0,0.9985,0.0015
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9505,0.0495
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.187,0.813
10,2,0,0.9835,0.0165
10,3,0,1,0
10,4,0,1,0
