y,fzone,punt,kick,gofor
1,1,0.001,0,0.999
1,2,0.4595,0,0.5405
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.4195,0,0.5805
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0065,0,0.9935
3,2,0.7185,0,0.2815
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.0605,0,0.9395
4,3,0.992,0,0.008
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.2795,0,0.7205
5,4,0.993,0,0.007
6,1,0,0.008,0.992
6,2,0,0.0255,0.9745
6,3,0,0.0845,0.9155
6,4,0.343,0.197,0.46
7,1,0,0.072,0.928
7,2,0,0.9075,0.0925
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.379,0.621
8,3,0,0.999,0.001
8,4,0,1,0
9,1,0,0.0995,0.9005
9,2,0,0.963,0.037
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.158,0.842
10,3,0,0.9295,0.0705
10,4,0,0.994,0.006
