y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.147,0,0.853
1,3,0.984,0,0.016
1,4,1,0,0
2,1,0,0,1
2,2,0.1785,0,0.8215
2,3,0.9935,0,0.0065
2,4,1,0,0
3,1,0.0025,0,0.9975
3,2,0.465,0,0.535
3,3,0.9985,0,0.0015
3,4,1,0,0
4,1,0,0,1
4,2,0.0725,0,0.9275
4,3,0.986,0,0.014
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.401,0,0.599
5,4,0.9945,0,0.0055
6,1,0,0.007,0.993
6,2,0,0.02,0.98
6,3,0.0015,0.0655,0.933
6,4,0.531,0.149,0.32
7,1,0,0.0255,0.9745
7,2,0,0.7565,0.2435
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0005,0.9995
8,2,0,0.35,0.65
8,3,0,0.999,0.001
8,4,0,1,0
9,1,0,0.1795,0.8205
9,2,0,0.954,0.046
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.302,0.698
10,3,0,0.9455,0.0545
10,4,0,0.9965,0.0035
