y,fzone,punt,kick,gofor
1,1,0.3475,0,0.6525
1,2,0.989,0,0.011
1,3,1,0,0
1,4,1,0,0
2,1,0.247,0,0.753
2,2,0.9855,0,0.0145
2,3,1,0,0
2,4,1,0,0
3,1,0.519,0,0.481
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.1295,0,0.8705
4,2,0.976,0,0.024
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.344,0,0.656
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.575,0.0815,0.3435
6,4,0.909,0.089,0.002
7,1,0,0.549,0.451
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.33,0.67
8,2,0,0.996,0.004
8,3,0,1,0
8,4,0,1,0
9,1,0,0.921,0.079
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1125,0.8875
10,2,0,0.9645,0.0355
10,3,0,0.9995,0.0005
10,4,0,1,0
