y,fzone,punt,kick,gofor
1,1,0.2845,0,0.7155
1,2,0.9795,0,0.0205
1,3,1,0,0
1,4,1,0,0
2,1,0.1995,0,0.8005
2,2,0.9755,0,0.0245
2,3,1,0,0
2,4,1,0,0
3,1,0.4445,0,0.5555
3,2,0.9965,0,0.0035
3,3,1,0,0
3,4,1,0,0
4,1,0.0875,0,0.9125
4,2,0.953,0,0.047
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2225,0,0.7775
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.031,0.969
6,3,0.457,0.0835,0.4595
6,4,0.9025,0.095,0.0025
7,1,0,0.499,0.501
7,2,0,0.9965,0.0035
7,3,0,1,0
7,4,0,1,0
8,1,0,0.253,0.747
8,2,0,0.9925,0.0075
8,3,0,1,0
8,4,0,1,0
9,1,0,0.886,0.114
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0705,0.9295
10,2,0,0.9405,0.0595
10,3,0,0.9995,0.0005
10,4,0,1,0
