y,fzone,punt,kick,gofor
1,1,0.3615,0,0.6385
1,2,0.991,0,0.009
1,3,1,0,0
1,4,1,0,0
2,1,0.202,0,0.798
2,2,0.9755,0,0.0245
2,3,1,0,0
2,4,1,0,0
3,1,0.432,0,0.568
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.136,0,0.864
4,2,0.9695,0,0.0305
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.47,0,0.53
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.0015,0.0285,0.97
6,3,0.7645,0.0655,0.17
6,4,0.9335,0.0665,0
7,1,0,0.608,0.392
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5825,0.4175
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9815,0.0185
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.4585,0.5415
10,2,0,0.9985,0.0015
10,3,0,1,0
10,4,0,1,0
