y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0145,0,0.9855
1,3,0.7295,0,0.2705
1,4,0.9935,0,0.0065
2,1,0,0,1
2,2,0.001,0,0.999
2,3,0.5725,0,0.4275
2,4,0.997,0,0.003
3,1,0,0,1
3,2,0.0005,0,0.9995
3,3,0.7195,0,0.2805
3,4,0.999,0,0.001
4,1,0,0,1
4,2,0,0,1
4,3,0.018,0,0.982
4,4,0.831,0,0.169
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.1445,0,0.8555
6,1,0,0.0095,0.9905
6,2,0,0.0325,0.9675
6,3,0,0.105,0.895
6,4,0.0005,0.2585,0.741
7,1,0,0.0475,0.9525
7,2,0,0.8535,0.1465
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0315,0.9685
8,3,0,0.975,0.025
8,4,0,1,0
9,1,0,0.0045,0.9955
9,2,0,0.644,0.356
9,3,0,0.995,0.005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0035,0.9965
10,3,0,0.644,0.356
10,4,0,0.9615,0.0385
